subset,hellwig_score
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.820916135675329
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.8208960664017496
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.8208938187348652
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.8208673543038717
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.8150215745297663
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.8145848045614299
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.8139116149843665
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.8138915457107871
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.8138892980439028
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.8138628336129092
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.8089752112262191
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'interest')",0.8083020216491557
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.8082819523755763
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.8082797047086919
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.8082532402776984
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest')",0.8078652516808192
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.8078451824072399
"('loan_amount', 'collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.8078429347403555
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.807816470309362
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest', 'monthly_emi')",0.8071719928301765
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest')",0.8071697451632921
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.8071496758897128
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest')",0.8071432807322986
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.8071232114587192
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.8071209637918348
"('number_of_loans', 'missed_repayments', 'vintage_in_months')",0.8070944993608413
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.7446532306613838
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.7376487099704213
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.7320391166352105
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.7316023466668741
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest', 'total_repayment')",0.7309291570898107
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.7309090878162313
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.7309068401493469
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.7308803757183534
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.7225757444665754
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.7169661511313645
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.7165293811630281
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.7158561915859647
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.7158361223123854
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.715833874645501
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.7158074102145074
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.7099616304404021
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.7095248604720656
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.7088516708950022
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.7088316016214229
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.7088293539545385
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.708802889523545
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.706654543977189
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.7039152671368548
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'interest')",0.7032420775597914
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.7032220082862121
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.7032197606193277
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.7031932961883341
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest')",0.702805307591455
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.7027852383178756
"('loan_amount', 'collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months')",0.7027829906509913
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'vintage_in_months')",0.7027565262199977
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi')",0.7021120487408122
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest')",0.7021098010739278
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.7020897318003485
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'interest')",0.7020833366429343
"('cheque_bounces', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.702063267369355
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'vintage_in_months')",0.7020610197024706
"('cheque_bounces', 'number_of_loans', 'vintage_in_months')",0.7020345552714771
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.6996500232862265
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.6940404299510157
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.6936036599826793
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest', 'total_repayment')",0.6929304704056158
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.6929104011320365
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.6929081534651521
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.6928816890341586
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.6845770577823805
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.6789674644471697
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.6785306944788333
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.6778575049017699
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.6778374356281905
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.6778351879613062
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.6778087235303126
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.6719629437562072
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.6715261737878708
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.6708529842108074
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.6708329149372281
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.6708306672703437
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.6708042028393502
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.66591658045266
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'interest')",0.6652433908755966
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.6652233216020172
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.6652210739351329
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.6651946095041393
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest')",0.6648066209072602
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.6647865516336808
"('loan_amount', 'collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months')",0.6647843039667964
"('collateral_value', 'cheque_bounces', 'missed_repayments', 'vintage_in_months')",0.6647578395358029
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest', 'monthly_emi')",0.6641133620566174
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest')",0.664111114389733
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.6640910451161537
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'interest')",0.6640846499587395
"('cheque_bounces', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.6640645806851602
"('loan_amount', 'cheque_bounces', 'missed_repayments', 'vintage_in_months')",0.6640623330182758
"('cheque_bounces', 'missed_repayments', 'vintage_in_months')",0.6640358685872823
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'total_repayment', 'avg_balance_amt')",0.6450577292607058
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'total_repayment', 'avg_rr_per_city')",0.6380532085697433
"('number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_balance_amt', 'avg_rr_per_city')",0.6333147385774931
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years', 'total_repayment')",0.6324436152345325
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'total_repayment')",0.6320068452661961
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest', 'total_repayment')",0.6313336556891327
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi', 'total_repayment')",0.6313135864155534
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'total_repayment')",0.631311338748669
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'total_repayment')",0.6312848743176754
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment', 'avg_balance_amt')",0.6277051452422823
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.6272683752739459
"('number_of_loans', 'vintage_in_months', 'interest', 'total_repayment', 'avg_balance_amt')",0.6265951856968824
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment', 'avg_balance_amt')",0.6265751164233031
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.6265728687564187
"('number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.6265464043254252
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_balance_amt', 'avg_rr_per_city')",0.6229802430658974
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment', 'avg_rr_per_city')",0.6207006245513198
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.6202638545829834
"('number_of_loans', 'vintage_in_months', 'interest', 'total_repayment', 'avg_rr_per_city')",0.61959066500592
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment', 'avg_rr_per_city')",0.6195705957323406
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.6195683480654562
"('number_of_loans', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.6195418836344627
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years', 'avg_balance_amt')",0.6173706497306866
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_balance_amt')",0.6169338797623501
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest', 'avg_balance_amt')",0.6162606901852867
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi', 'avg_balance_amt')",0.6162406209117074
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_balance_amt')",0.616238373244823
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_balance_amt')",0.6162119088138295
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.6146542612477726
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'interest', 'total_repayment')",0.6139810716707091
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi', 'total_repayment')",0.6139610023971298
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.6139587547302454
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.6139322902992519
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'interest', 'total_repayment')",0.6135443017023727
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.6135242324287934
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.613521984761909
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.6134955203309155
"('number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi', 'total_repayment')",0.61285104285173
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'interest', 'total_repayment')",0.6128487951848456
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.6128287259112662
"('number_of_loans', 'vintage_in_months', 'interest', 'total_repayment')",0.6128223307538521
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.6128022614802727
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'total_repayment')",0.6128000138133883
"('number_of_loans', 'vintage_in_months', 'total_repayment')",0.6127735493823948
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years', 'avg_rr_per_city')",0.6103661290397241
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_rr_per_city')",0.6099293590713877
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest', 'avg_rr_per_city')",0.6092561694943243
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi', 'avg_rr_per_city')",0.6092361002207449
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_rr_per_city')",0.6092338525538605
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'avg_rr_per_city')",0.609207388122867
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_balance_amt', 'avg_rr_per_city')",0.6056276590474738
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.6051908890791374
"('number_of_loans', 'vintage_in_months', 'interest', 'avg_balance_amt', 'avg_rr_per_city')",0.604517699502074
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt', 'avg_rr_per_city')",0.6044976302284947
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.6044953825616103
"('number_of_loans', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.6044689181306168
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years')",0.6043197657361769
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years', 'interest')",0.6036465761591134
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years', 'monthly_emi')",0.6036265068855341
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years')",0.6036242592186497
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'tenure_years')",0.6035977947876562
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest')",0.603209806190777
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi')",0.6031897369171977
"('loan_amount', 'collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments')",0.6031874892503133
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments')",0.6031610248193198
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest', 'monthly_emi')",0.6025165473401343
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest')",0.6025142996732499
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi')",0.6024942303996705
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'interest')",0.6024878352422564
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'monthly_emi')",0.602467765968677
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments')",0.6024655183017926
"('cheque_bounces', 'number_of_loans', 'missed_repayments')",0.6024390538707991
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.5995812957439266
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'interest', 'avg_balance_amt')",0.5989081061668632
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi', 'avg_balance_amt')",0.5988880368932838
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.5988857892263995
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.5988593247954059
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.5984713361985268
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.5984512669249474
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.598449019258063
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.5984225548270695
"('number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi', 'avg_balance_amt')",0.597778077347884
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.5977758296809996
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.5977557604074203
"('number_of_loans', 'vintage_in_months', 'interest', 'avg_balance_amt')",0.5977493652500061
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_balance_amt')",0.5977292959764268
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.5977270483095424
"('number_of_loans', 'vintage_in_months', 'avg_balance_amt')",0.5977005838785489
"('missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt', 'avg_rr_per_city')",0.5953160518932983
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.5925767750529641
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'interest', 'avg_rr_per_city')",0.5919035854759007
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi', 'avg_rr_per_city')",0.5918835162023214
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.591881268535437
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'avg_rr_per_city')",0.5918548041044435
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.5914668155075643
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.591446746233985
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.5914444985671006
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.591418034136107
"('number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi', 'avg_rr_per_city')",0.5907735566569216
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.5907713089900372
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.5907512397164578
"('number_of_loans', 'vintage_in_months', 'interest', 'avg_rr_per_city')",0.5907448445590436
"('number_of_loans', 'vintage_in_months', 'monthly_emi', 'avg_rr_per_city')",0.5907247752854643
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.5907225276185799
"('number_of_loans', 'vintage_in_months', 'avg_rr_per_city')",0.5906960631875864
"('missed_repayments', 'vintage_in_months', 'tenure_years', 'total_repayment', 'avg_balance_amt')",0.5897064585580875
"('collateral_value', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.589269688589751
"('missed_repayments', 'vintage_in_months', 'interest', 'total_repayment', 'avg_balance_amt')",0.5885964990126876
"('missed_repayments', 'vintage_in_months', 'monthly_emi', 'total_repayment', 'avg_balance_amt')",0.5885764297391083
"('loan_amount', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.5885741820722239
"('missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.5885477176412304
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'interest')",0.5858572221723535
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.5858371528987741
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.5858349052318897
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.5858084408008962
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'interest', 'monthly_emi')",0.5851639633217107
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'interest')",0.5851617156548263
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.585141646381247
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'interest')",0.5851352512238328
"('number_of_loans', 'vintage_in_months', 'tenure_years', 'monthly_emi')",0.5851151819502535
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'tenure_years')",0.5851129342833691
"('number_of_loans', 'vintage_in_months', 'tenure_years')",0.5850864698523756
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi')",0.5847271933533743
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'interest')",0.5847249456864899
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.5847048764129106
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'interest')",0.5846984812554964
"('collateral_value', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.5846784119819171
"('loan_amount', 'collateral_value', 'number_of_loans', 'vintage_in_months')",0.5846761643150327
"('collateral_value', 'number_of_loans', 'vintage_in_months')",0.5846496998840391
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi')",0.5840316868358472
"('number_of_loans', 'vintage_in_months', 'interest', 'monthly_emi')",0.5840052224048536
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'interest')",0.5840029747379692
"('loan_amount', 'number_of_loans', 'vintage_in_months', 'monthly_emi')",0.5839829054643899
"('number_of_loans', 'vintage_in_months', 'interest')",0.5839765103069757
"('number_of_loans', 'vintage_in_months', 'monthly_emi')",0.5839564410333964
"('loan_amount', 'number_of_loans', 'vintage_in_months')",0.583954193366512
"('number_of_loans', 'vintage_in_months')",0.5839277289355185
"('missed_repayments', 'vintage_in_months', 'tenure_years', 'total_repayment', 'avg_rr_per_city')",0.582701937867125
"('collateral_value', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.5822651678987886
"('missed_repayments', 'vintage_in_months', 'interest', 'total_repayment', 'avg_rr_per_city')",0.5815919783217252
"('missed_repayments', 'vintage_in_months', 'monthly_emi', 'total_repayment', 'avg_rr_per_city')",0.5815719090481458
"('loan_amount', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.5815696613812614
"('missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.5815431969502679
"('collateral_value', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.5766555745635777
"('missed_repayments', 'vintage_in_months', 'tenure_years', 'interest', 'total_repayment')",0.5759823849865143
"('missed_repayments', 'vintage_in_months', 'tenure_years', 'monthly_emi', 'total_repayment')",0.575962315712935
